"Accession_ID","PMID"
"GSE287957",""
"GSE254073",""
"GSE254070",""
"GSE281579","39835481"
"GSE285529",""
"GSE283613","39937118"
"GSE283503","39937118"
"GSE281577",""
"GSE279924","39581704"
"GSE253751","39627185"
"GSE253749","39627185"
"GSE235394","39627185"
"GSE277037",""
"GSE217590",""
"GSE183783",""
"GSE275540",""
"GSE248264","38828677"
"GSE249052","39197453"
"GSE212029","39169233"
"GSE212027","39169233"
"GSE261139","38853850"
"GSE261138","38853850"
"GSE261137","38853850"
"GSE205896",""
"GSE237643","38821052"
"GSE237642","38821052"
"GSE262709",""
"GSE237508","38674064"
"GSE263479",""
"GSE208632","38145969"
"GSE261556","38805560"
"GSE240131","38370171"
"GSE245450","38301646"
"GSE199096",""
"GSE198764",""
"GSE231974",""
"GSE245151",""
"GSE218071","37652007"
"GSE237375","37794185"
"GSE233834",""
"GSE207060",""
"GSE208718","37335131"
"GSE223288","37270599"
"GSE151640","38461299"
"GSE208150","36998620"
"GSE218914","37014656"
"GSE218913","37014656"
"GSE215005","36805920"
"GSE224256",""
"GSE216265",""
"GSE208388","36735776"
"GSE212112","36302218"
"GSE192714","36323669"
"GSE213492",""
"GSE213491",""
"GSE211392","36104342"
"GSE211226","36332624"
"GSE168481","35848459"
"GSE178971",""
"GSE159995","35654839"
"GSE159994","35654839"
"GSE130624","35327394"
"GSE172388","35606362"
"GSE163078","35158113"
"GSE168499","34887328"
"GSE185539","35109875"
"GSE160650","35123499"
"GSE190296","35163092"
"GSE192835",""
"GSE180200","35309731"
"GSE180033","34614413"
"GSE166028","34645812"
"GSE133781","34124690"
"GSE114930",""
"GSE174724",""
"GSE173118","34524860"
"GSE173116","34524860"
"GSE162536","33804655"
"GSE166566","33744468"
"GSE162105","33497609"
"GSE155551","33536439"
"GSE145319","32999457"
"GSE145293","32999457"
"GSE153324",""
"GSE145201","32441314"
"GSE135690","32470095"
"GSE109077","31872800"
"GSE135814","33976173"
"GSE136619","31515258"
"GSE113837","33976173"
"GSE127252","31252639"
"GSE111201",""
"GSE117074","30699351"
"GSE106390","29329948
29466761"
"GSE109542","29599246"
"GSE101994","29298428"
"GSE105166","29438700"
"GSE105138","29438700"
"GSE90885",""
"GSE104463",""
"GSE98608","28834744"
"GSE98607","28834744"
"GSE85507","27923825"
"GSE68837","26608031"
"GSE79085","27043781"
"GSE67430","25948793"
"GSE58188","28508873
25915587"
"GSE59564","25335460"
"GSE42942",""
"GSE36633",""
"GSE21559",""
"GSE25501","22363655"
"GSE23216","21300782"
"GSE14418",""
